"No.","Time","Source","Destination","Protocol","Length","Info"
"92","56.682273496","192.168.8.1","192.168.8.181","DNS","174","Standard query response 0x96cf A plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com A 52.17.55.52"
"93","56.682273550","192.168.8.1","192.168.8.181","DNS","186","Standard query response 0x29cc AAAA plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com AAAA 2c0f:fa18:0:10::3411:3734"
"94","56.683598199","192.168.8.181","52.17.55.52","TCP","74","51824  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1241310244 TSecr=0 WS=128"
"95","56.862881760","52.17.55.52","192.168.8.181","TCP","74","443  >  51824 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1400 SACK_PERM=1 TSval=3456238807 TSecr=1241310244 WS=512"
"96","56.863025490","192.168.8.181","52.17.55.52","TCP","66","51824  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1241310423 TSecr=3456238807"
"97","56.888285405","192.168.8.181","52.17.55.52","TLSv1.2","583","Client Hello"
"98","57.451890197","192.168.8.181","52.17.55.52","TCP","583","[TCP Retransmission] 51824  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=517 TSval=1241311012 TSecr=3456238807"
"99","57.552850209","52.17.55.52","192.168.8.181","TLSv1.2","2842","Server Hello"
"100","57.552954466","192.168.8.181","52.17.55.52","TCP","66","51824  >  443 [ACK] Seq=518 Ack=2777 Win=63488 Len=0 TSval=1241311113 TSecr=3456239109"
"101","57.592840984","52.17.55.52","192.168.8.181","TLSv1.2","1373","Certificate, Server Key Exchange, Server Hello Done"
"102","57.592872636","192.168.8.181","52.17.55.52","TCP","66","51824  >  443 [ACK] Seq=518 Ack=4084 Win=64128 Len=0 TSval=1241311153 TSecr=3456239508"
"103","57.594258671","192.168.8.181","52.17.55.52","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"104","57.672694907","52.17.55.52","192.168.8.181","TCP","78","[TCP Dup ACK 99#1] 443  >  51824 [ACK] Seq=4084 Ack=518 Win=30208 Len=0 TSval=3456239597 TSecr=1241311012 SLE=1 SRE=518"
"105","57.878016903","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"106","58.104091677","52.17.55.52","192.168.8.181","TCP","66","443  >  51824 [ACK] Seq=4084 Ack=644 Win=30208 Len=0 TSval=3456239746 TSecr=1241311155"
"107","58.104091884","52.17.55.52","192.168.8.181","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"108","58.104156679","192.168.8.181","52.17.55.52","TCP","66","51824  >  443 [ACK] Seq=644 Ack=4342 Win=64128 Len=0 TSval=1241311665 TSecr=3456239746"
"109","58.105175568","192.168.8.181","52.17.55.52","TLSv1.2","786","Application Data"
"110","58.185606863","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"111","58.213574296","52.17.55.52","192.168.8.181","TCP","66","[TCP Previous segment not captured] 443  >  51824 [FIN, ACK] Seq=5883 Ack=1364 Win=31744 Len=0 TSval=3456240253 TSecr=1241311666"
"112","58.213648784","192.168.8.181","52.17.55.52","TCP","78","[TCP Dup ACK 108#1] 51824  >  443 [ACK] Seq=1364 Ack=4342 Win=64128 Len=0 TSval=1241311774 TSecr=3456239746 SLE=5883 SRE=5884"
"113","58.224469200","52.17.55.52","192.168.8.181","TCP","1607","[TCP Out-Of-Order] 443  >  51824 [PSH, ACK] Seq=4342 Ack=1364 Win=31744 Len=1541 TSval=3456240253 TSecr=1241311666"
"114","58.224667142","192.168.8.181","52.17.55.52","TCP","66","51824  >  443 [ACK] Seq=1364 Ack=5884 Win=63744 Len=0 TSval=1241311785 TSecr=3456240253"
"115","58.229629890","192.168.8.181","52.17.55.52","TCP","66","51824  >  443 [RST, ACK] Seq=1364 Ack=5884 Win=64128 Len=0 TSval=1241311790 TSecr=3456240253"
"116","58.257158020","192.168.8.181","192.168.8.1","DNS","78","Standard query 0xd9cb A plugins.nessus.org"
"117","58.273049931","192.168.8.1","192.168.8.181","DNS","174","Standard query response 0xd9cb A plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com A 52.17.55.52"
"118","58.274791511","192.168.8.181","192.168.8.1","DNS","78","Standard query 0x9ec3 A plugins.nessus.org"
"119","58.274954183","192.168.8.181","192.168.8.1","DNS","78","Standard query 0xc0c1 AAAA plugins.nessus.org"
"120","58.283129745","192.168.8.1","192.168.8.181","DNS","174","Standard query response 0x9ec3 A plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com A 52.17.55.52"
"121","58.283129865","192.168.8.1","192.168.8.181","DNS","186","Standard query response 0xc0c1 AAAA plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com AAAA 2c0f:fa18:0:10::3411:3734"
"122","58.284956249","192.168.8.181","52.17.55.52","TCP","74","51826  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1241311845 TSecr=0 WS=128"
"123","58.382754928","52.17.55.52","192.168.8.181","TCP","74","443  >  51826 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1400 SACK_PERM=1 TSval=3456240408 TSecr=1241311845 WS=512"
"124","58.382857420","192.168.8.181","52.17.55.52","TCP","66","51826  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1241311943 TSecr=3456240408"
"125","58.399541282","192.168.8.181","52.17.55.52","TLSv1.2","583","Client Hello"
"126","58.492914560","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"127","58.657942762","52.17.55.52","192.168.8.181","TLSv1.2","1373","[TCP Previous segment not captured] , Ignored Unknown Record"
"128","58.657985455","192.168.8.181","52.17.55.52","TCP","78","[TCP Dup ACK 124#1] 51826  >  443 [ACK] Seq=518 Ack=1 Win=64256 Len=0 TSval=1241312218 TSecr=3456240408 SLE=2777 SRE=4084"
"129","58.657942819","52.17.55.52","192.168.8.181","TCP","2842","[TCP Out-Of-Order] 443  >  51826 [ACK] Seq=1 Ack=518 Win=30208 Len=2776 TSval=3456240564 TSecr=1241311960"
"130","58.658258352","192.168.8.181","52.17.55.52","TCP","66","51826  >  443 [ACK] Seq=518 Ack=4084 Win=62464 Len=0 TSval=1241312219 TSecr=3456240564"
"131","58.659522076","192.168.8.181","52.17.55.52","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"132","58.784828194","52.17.55.52","192.168.8.181","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"133","58.784870043","192.168.8.181","52.17.55.52","TCP","66","51826  >  443 [ACK] Seq=644 Ack=4342 Win=64128 Len=0 TSval=1241312345 TSecr=3456240792"
"134","58.785477837","192.168.8.181","52.17.55.52","TLSv1.2","789","Application Data"
"135","59.139808549","52.17.55.52","192.168.8.181","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record"
"136","59.139852678","192.168.8.181","52.17.55.52","TCP","78","[TCP Dup ACK 133#1] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312700 TSecr=3456240792 SLE=5730 SRE=7118"
"137","59.139808587","52.17.55.52","192.168.8.181","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record"
"138","59.139987106","192.168.8.181","52.17.55.52","TCP","86","[TCP Dup ACK 133#2] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312700 TSecr=3456240792 SLE=8506 SRE=9894 SLE=5730 SRE=7118"
"139","59.139808612","52.17.55.52","192.168.8.181","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record"
"140","59.140089494","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#3] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312701 TSecr=3456240792 SLE=11282 SRE=12670 SLE=8506 SRE=9894 SLE=5730 SRE=7118"
"141","59.139808636","52.17.55.52","192.168.8.181","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record"
"142","59.140180569","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#4] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312701 TSecr=3456240792 SLE=14058 SRE=15446 SLE=11282 SRE=12670 SLE=8506 SRE=9894"
"143","59.139808660","52.17.55.52","192.168.8.181","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record"
"144","59.140351750","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#5] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312701 TSecr=3456240792 SLE=16834 SRE=18222 SLE=14058 SRE=15446 SLE=11282 SRE=12670"
"145","59.222304965","52.17.55.52","192.168.8.181","TLSv1.2","1454","Ignored Unknown Record"
"146","59.222348195","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#6] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312783 TSecr=3456240792 SLE=16834 SRE=19610 SLE=14058 SRE=15446 SLE=11282 SRE=12670"
"147","59.294827481","52.17.55.52","192.168.8.181","TCP","1454","[TCP Out-Of-Order] 443  >  51826 [ACK] Seq=7118 Ack=1367 Win=31744 Len=1388 TSval=3456241281 TSecr=1241312701"
"148","59.294873702","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#7] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312855 TSecr=3456240792 SLE=7118 SRE=9894 SLE=16834 SRE=19610 SLE=14058 SRE=15446"
"149","59.294827546","52.17.55.52","192.168.8.181","TLSv1.2","1454","Ignored Unknown Record"
"150","59.295349160","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#8] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312856 TSecr=3456240792 SLE=16834 SRE=20998 SLE=7118 SRE=9894 SLE=14058 SRE=15446"
"151","59.333810573","52.17.55.52","192.168.8.181","TLSv1.2","1454","Ignored Unknown Record"
"152","59.333857169","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#9] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241312894 TSecr=3456240792 SLE=16834 SRE=22386 SLE=7118 SRE=9894 SLE=14058 SRE=15446"
"153","59.454569916","HuaweiDe_37:38:18","AzureWav_b7:5a:0f","ARP","60","192.168.8.1 is at c0:b5:cd:37:38:18"
"154","59.786099742","52.17.55.52","192.168.8.181","TCP","1454","[TCP Retransmission] 443  >  51826 [ACK] Seq=9894 Ack=1367 Win=31744 Len=1388 TSval=3456241466 TSecr=1241312856"
"155","59.786156287","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#10] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241313347 TSecr=3456240792 SLE=7118 SRE=12670 SLE=16834 SRE=22386 SLE=14058 SRE=15446"
"156","59.786099823","52.17.55.52","192.168.8.181","TLSv1.2","1454","Ignored Unknown Record"
"157","59.786363270","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#11] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241313347 TSecr=3456240792 SLE=16834 SRE=23774 SLE=7118 SRE=12670 SLE=14058 SRE=15446"
"158","59.786099875","52.17.55.52","192.168.8.181","TCP","1454","[TCP Out-Of-Order] 443  >  51826 [ACK] Seq=15446 Ack=1367 Win=31744 Len=1388 TSval=3456241466 TSecr=1241312894"
"159","59.786512944","192.168.8.181","52.17.55.52","TCP","86","[TCP Dup ACK 133#12] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241313347 TSecr=3456240792 SLE=14058 SRE=23774 SLE=7118 SRE=12670"
"160","59.894419158","52.17.55.52","192.168.8.181","TCP","1454","443  >  51826 [ACK] Seq=23774 Ack=1367 Win=31744 Len=1388 TSval=3456241922 TSecr=1241313347"
"161","59.894477494","192.168.8.181","52.17.55.52","TCP","86","[TCP Dup ACK 133#13] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241313455 TSecr=3456240792 SLE=14058 SRE=25162 SLE=7118 SRE=12670"
"162","59.894419301","52.17.55.52","192.168.8.181","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record"
"163","59.894775782","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#14] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241313455 TSecr=3456240792 SLE=26550 SRE=27938 SLE=14058 SRE=25162 SLE=7118 SRE=12670"
"164","60.024330672","52.17.55.52","192.168.8.181","TCP","1454","[TCP Retransmission] 443  >  51826 [ACK] Seq=12670 Ack=1367 Win=31744 Len=1388 TSval=3456242021 TSecr=1241313455"
"165","60.024365964","192.168.8.181","52.17.55.52","TCP","86","[TCP Dup ACK 133#15] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241313585 TSecr=3456240792 SLE=7118 SRE=25162 SLE=26550 SRE=27938"
"166","60.024330719","52.17.55.52","192.168.8.181","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record"
"167","60.026486374","192.168.8.181","52.17.55.52","TCP","94","[TCP Dup ACK 133#16] 51826  >  443 [ACK] Seq=1367 Ack=4342 Win=64128 Len=0 TSval=1241313585 TSecr=3456240792 SLE=30714 SRE=32102 SLE=7118 SRE=25162 SLE=26550 SRE=27938"
"168","60.028850161","192.168.8.197","224.0.0.251","MDNS","103","Standard query 0x004f PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
